,Movie name,Rating,Genres,Release_date,Runtime,Director,Url
37,No Exit (2022),67.0,"Horror,Thriller",02/25/2022,              1h 36m          ,Damien Power,https://www.themoviedb.org/movie/833425-no-exit
38,Shang-Chi and the Legend of the Ten Rings (2021),77.0,"Action,Adventure,Fantasy,Science Fiction",09/03/2021,              2h 12m          ,Destin Daniel Cretton,https://www.themoviedb.org/movie/566525-shang-chi-and-the-legend-of-the-ten-rings
39,The Jack in the Box: Awakening (2022),61.0,Horror,02/24/2022,              1h 29m          ,Lawrence Fowler,https://www.themoviedb.org/movie/801071-the-jack-in-the-box-awakening
40,The Requin (2022),47.0,Thriller,01/28/2022,              1h 29m          ,Lê Văn Kiệt,https://www.themoviedb.org/movie/803114-the-requin
41,Gold (2022),64.0,"Thriller,Action",01/13/2022,              1h 37m          ,Anthony Hayes,https://www.themoviedb.org/movie/760926-gold
42,Kimi (2022),62.0,Thriller,02/10/2022,              1h 29m          ,Steven Soderbergh,https://www.themoviedb.org/movie/800510-kimi
43,The In Between (2022),71.0,"Romance,Science Fiction,Drama",02/11/2022,              1h 56m          ,Arie Posin,https://www.themoviedb.org/movie/818750-the-in-between
44,Pirates of the Caribbean: On Stranger Tides (2011),65.0,"Adventure,Action,Fantasy",05/20/2011,              2h 17m          ,Rob Marshall,https://www.themoviedb.org/movie/1865-pirates-of-the-caribbean-on-stranger-tides
45,The King's Man (2021),69.0,"Action,Adventure,Thriller,War,Mystery",01/14/2022,              2h 11m          ,Matthew Vaughn,https://www.themoviedb.org/movie/476669-the-king-s-man
46,Pirates of the Caribbean: Dead Man's Chest (2006),73.0,"Adventure,Fantasy,Action",07/07/2006,              2h 31m          ,Gore Verbinski,https://www.themoviedb.org/movie/58-pirates-of-the-caribbean-dead-man-s-chest
47,Resident Evil: Welcome to Raccoon City (2021),62.0,"Horror,Action,Science Fiction",11/26/2021,              1h 47m          ,Johannes Roberts,https://www.themoviedb.org/movie/460458-resident-evil-welcome-to-raccoon-city
48,Scream (2022),68.0,"Horror,Mystery,Thriller,Comedy",01/14/2022,              1h 54m          ,"Tyler Gillett , Matt Bettinelli-Olpin",https://www.themoviedb.org/movie/646385-scream
49,The Seven Deadly Sins: Cursed by Light (2021),79.0,"Animation,Fantasy",07/02/2021,              1h 19m          ,Takayuki Hamana,https://www.themoviedb.org/movie/843241
50,The Boss Baby: Family Business (2021),76.0,"Animation,Comedy,Adventure,Family",07/02/2021,              1h 47m          ,Tom McGrath,https://www.themoviedb.org/movie/459151-the-boss-baby-family-business
51,Pirates of the Caribbean: The Curse of the Black Pearl (2003),78.0,"Adventure,Fantasy,Action",08/15/2003,              2h 23m          ,Gore Verbinski,https://www.themoviedb.org/movie/22-pirates-of-the-caribbean-the-curse-of-the-black-pearl
52,Tom and Jerry: Cowboy Up! (2022),70.0,"Animation,Comedy,Family,Western",01/25/2022,              1h 15m          ,Darrell Van Citters,https://www.themoviedb.org/movie/892153-tom-and-jerry-cowboy-up
53,Pirates of the Caribbean: At World's End (2007),72.0,"Adventure,Fantasy,Action",05/19/2007,              2h 49m          ,Gore Verbinski,https://www.themoviedb.org/movie/285-pirates-of-the-caribbean-at-world-s-end
54,Ghostbusters: Afterlife (2021),77.0,"Fantasy,Comedy,Adventure",11/11/2021,              2h 4m          ,Jason Reitman,https://www.themoviedb.org/movie/425909-ghostbusters-afterlife
55,2000 Mules (2022),73.0,"Documentary,Crime",05/02/2022,0,"Dinesh D'Souza , Bruce Schooley , Debbie D'Souza",https://www.themoviedb.org/movie/933554-2000-mules
56,Last Man Down (2021),63.0,"Action,Thriller",10/19/2021,              1h 27m          ,Fansu Njie,https://www.themoviedb.org/movie/860623-last-man-down
57,Dr. Strange (1978),63.0,"TV Movie,Action,Adventure,Fantasy,Science Fiction",09/06/1978,              1h 33m          ,Philip DeGuere Jr.,https://www.themoviedb.org/movie/50468-dr-strange
58,The House (2022),70.0,"Animation,Drama,Comedy,Horror",01/14/2022,              1h 37m          ,"Marc James Roels , Emma De Swaef , Niki Lindroth von Bahr , Paloma Baeza",https://www.themoviedb.org/movie/926899-the-house
59,Restless (2022),60.0,"Action,Thriller,Crime",02/25/2022,              1h 35m          ,Régis Blondeau,https://www.themoviedb.org/movie/928381-sans-repit
60,Texas Chainsaw Massacre (2022),51.0,"Horror,Thriller",02/18/2022,              1h 23m          ,David Blue Garcia,https://www.themoviedb.org/movie/632727-texas-chainsaw-massacre
61,The Matrix Resurrections (2021),67.0,"Science Fiction,Action,Adventure",12/22/2021,              2h 28m          ,David Blue Garcia,https://www.themoviedb.org/movie/624860-the-matrix-resurrections
62,Clifford the Big Red Dog (2021),73.0,"Family,Adventure,Comedy,Fantasy",11/10/2021,              1h 37m          ,Walt Becker,https://www.themoviedb.org/movie/585245-clifford-the-big-red-dog
63,The Contractor (2022),64.0,"Action,Thriller",04/01/2022,              1h 43m          ,Tarik Saleh,https://www.themoviedb.org/movie/628900-the-contractor
64,Jackass Forever (2022),69.0,"Comedy,Action",02/04/2022,              1h 36m          ,Jeff Tremaine,https://www.themoviedb.org/movie/656663-jackass-forever
65,Pirates of the Caribbean: Dead Men Tell No Tales (2017),66.0,"Adventure,Action,Fantasy",05/26/2017,              2h 9m          ,"Joachim Rønning , Espen Sandberg",https://www.themoviedb.org/movie/166426-pirates-of-the-caribbean-dead-men-tell-no-tales
66,Honeymoon With My Mother (2022),64.0,Comedy,04/29/2022,              1h 50m          ,Paco Caballero,https://www.themoviedb.org/movie/955971-amor-de-madre
67,Red Notice (2021),68.0,"Action,Comedy,Crime,Thriller",11/05/2021,              1h 58m          ,Rawson Marshall Thurber,https://www.themoviedb.org/movie/512195-red-notice
68,The Commando (2022),66.0,"Action,Crime,Thriller",01/07/2022,              1h 33m          ,Asif Akbar,https://www.themoviedb.org/movie/753232-the-commando
69,Desperate Riders (2022),61.0,"Western,Action",02/25/2022,              1h 30m          ,Michael Feifer,https://www.themoviedb.org/movie/928999-desperate-riders
70,Echoes of a Crime (2022),72.0,"Thriller,Horror",01/27/2022,              1h 24m          ,Cristian Bernard,https://www.themoviedb.org/movie/842052-ecos-de-un-crimen
71,Fistful of Vengeance (2022),54.0,"Action,Crime,Fantasy",02/17/2022,              1h 34m          ,Roel Reiné,https://www.themoviedb.org/movie/890656-fistful-of-vengeance
72,PAW Patrol: The Movie (2021),75.0,"Animation,Family,Adventure,Comedy",08/20/2021,              1h 26m          ,Cal Brunker,https://www.themoviedb.org/movie/675445-paw-patrol-the-movie
73,Fortress: Sniper's Eye (2022),59.0,"Crime,Action",04/29/2022,              1h 27m          ,Josh Sternfeld,https://www.themoviedb.org/movie/883502-fortress-sniper-s-eye
74,The Northman (2022),77.0,"Action,Adventure,Fantasy,Drama",04/22/2022,              2h 17m          ,Robert Eggers,https://www.themoviedb.org/movie/639933-the-northman
75,Fate/Grand Order Final Singularity – Grand Temple of Time: Solomon (2021),62.0,"Animation,Action,Adventure,Fantasy",07/30/2021,              1h 34m          ,Toshifumi Akai,https://www.themoviedb.org/movie/829920-fate-grand-order
76,The Suicide Squad (2021),77.0,"Action,Adventure,Fantasy",08/06/2021,              2h 12m          ,James Gunn,https://www.themoviedb.org/movie/436969-the-suicide-squad
