,Movie name,Overview,Release_date,Rating,Genres,Runtime,Director,Language,Certification,Budget,Revenue,Url
420,Barbie in The 12 Dancing Princesses (2006),"King Randolph sends for his cousin Duchess Rowena to help turn his daughters, Princess Genevieve and her 11 sisters, into better ladies. But the Duchess takes away all the sisters fun, including the sisters favorite pastime: dancing.Thinking all hope is lost they find a secret passageway to a magical land were they can dance the night away.",09/19/2006,77.0,"Animation,Family", 1h 23m,Greg Richardson,English,G,-,-,https://www.themoviedb.org/movie/13002-barbie-in-the-12-dancing-princesses
421,Crank: High Voltage (2009),Chelios faces a Chinese mobster who has stolen his nearly indestructible heart and replaced it with a battery-powered ticker that requires regular jolts of electricity to keep working.,04/16/2009,60.0,"Action,Thriller,Crime", 1h 36m,"Mark Neveldine , Brian Taylor",English,R,"$20,000,000.00","$34,560,577.00",https://www.themoviedb.org/movie/15092-crank-high-voltage
422,Wrong Turn (2021),"Jen and a group of friends set out to hike the Appalachian Trail. Despite warnings to stick to the trail, the hikers stray off course—and cross into land inhabited by The Foundation, a hidden community of mountain dwellers who use deadly means to protect their way of life.",01/26/2021,60.0,"Horror,Thriller", 1h 50m,Mike P. Nelson,English,R,-,"$3,777,969.00",https://www.themoviedb.org/movie/630586-wrong-turn
423,Zone 414 (2021),"In the near future on a colony of state-of-the-art robots, a private investigator is hired by the colony's creator to bring his missing daughter home.",09/03/2021,54.0,"Science Fiction,Thriller,Mystery", 1h 38m,Andrew Baird,English,R,"$5,000,000.00",-,https://www.themoviedb.org/movie/675319-zone-414
424,Cars 2 (2011),Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international espionage.,06/16/2011,60.0,"Animation,Family,Adventure,Comedy", 1h 46m,John Lasseter,English,G,"$200,000,000.00","$559,852,396.00",https://www.themoviedb.org/movie/49013-cars-2
425,Corpse Bride (2005),"Set in a 19th-century european village, this stop-motion animation feature follows the story of Victor, a young man whisked away to the underworld and wed to a mysterious corpse bride, while his real bride Victoria waits bereft in the land of the living.",09/23/2005,75.0,"Romance,Fantasy,Animation", 1h 17m,Mike Johnson,English,PG,"$40,000,000.00","$118,133,252.00",https://www.themoviedb.org/movie/3933-corpse-bride
426,El bucle de Latham (2022),We don't have an overview translated in English. Help us expand our database by adding one.,03/01/2022,47.0,"Drama,Mystery",0,Raúl Arteaga,Castilian,Not mentioned,-,-,https://www.themoviedb.org/movie/945697-el-bucle-de-latham
427,Spider-Man: Into the Spider-Verse (2018),"Miles Morales is juggling his life between being a high school student and being a spider-man. When Wilson ""Kingpin"" Fisk uses a super collider, others from across the Spider-Verse are transported to this dimension.",12/14/2018,84.0,"Action,Adventure,Animation,Science Fiction", 1h 57m,"Rodney Rothman , Peter Ramsey , Bob Persichetti",English,U,"$90,000,000.00","$375,540,831.00",https://www.themoviedb.org/movie/324857-spider-man-into-the-spider-verse
428,Iron Man (2008),"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",05/01/2008,76.0,"Action,Science Fiction,Adventure"," 2h 6m
",Jon Favreau,English,UA,"$140,000,000.00","$585,174,222.00",https://www.themoviedb.org/movie/1726-iron-man
429,Iron Man 3 (2013),"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",05/03/2013,69.0,"Action,Adventure,Science Fiction", 2h 10m,Shane Black,English,PG-13,"$200,000,000.00","$1,214,811,252.00",https://www.themoviedb.org/movie/68721-iron-man-3
430,Snoopy Presents: For Auld Lang Syne (2021),"After finding out her grandmother won't be visiting for Christmas, Lucy decides to cheer herself up by throwing the ultimate New Year's Eve party. Meanwhile, Charlie Brown tries to fulfill one of his resolutions before the clock strikes midnight.",12/09/2021,74.0,"Animation,Family"," 39m
  ",Clay Kaytis,English,G,-,-,https://www.themoviedb.org/movie/881211-snoopy-presents-for-auld-lang-syne
431,Wrong Turn 3: Left for Dead (2009),"A group of people find themselves trapped in the backwoods of West Virginia, fighting for their lives against a group of vicious and horribly disfigured inbred cannibals.",10/20/2009,56.0,"Horror,Thriller", 1h 31m,Declan O'Brien,English,NR,"$3,000,000.00",-,https://www.themoviedb.org/movie/23823-wrong-turn-3-left-for-dead
432,The Nun (2018),"When a young nun at a cloistered abbey in Romania takes her own life, a priest with a haunted past and a novitiate on the threshold of her final vows are sent by the Vatican to investigate. Together they uncover the order’s unholy secret. Risking not only their lives but their faith and their very souls, they confront a malevolent force in the form of the same demonic nun that first terrorized audiences in “The Conjuring 2” as the abbey becomes a horrific battleground between the living and the damned.",09/07/2018,58.0,"Horror,Mystery,Thriller", 1h 36m,Corin Hardy,English,A,"$22,000,000.00","$365,550,119.00",https://www.themoviedb.org/movie/439079-the-nun
433,Creed II (2018),"Between personal obligations and training for his next big fight against an opponent with ties to his family's past, Adonis Creed is up against the challenge of his life.",11/21/2018,70.0,Drama, 2h 10m,Steven Caple Jr.,English,PG-13,"$50,000,000.00","$214,215,889.00",https://www.themoviedb.org/movie/480530-creed-ii
434,Yu-Gi-Oh!: The Dark Side of Dimensions (2016),Yugi and Kaiba have a special duel that transcends dimensions.,04/23/2016,76.0,"Adventure,Animation", 2h 10m,Satoshi Kuwabara,Japanese,PG,-,"$1,015,339.00",https://www.themoviedb.org/movie/366170-the-dark-side-of-dimensions
435,Journey 2: The Mysterious Island (2012),"Sean Anderson partners with his mom's boyfriend on a mission to find his grandfather, who is thought to be missing on a mythical island.",02/10/2012,61.0,"Adventure,Action,Science Fiction", 1h 34m,Brad Peyton,English,PG,"$79,000,000.00","$355,692,760.00",https://www.themoviedb.org/movie/72545-journey-2-the-mysterious-island
436,Dragon Ball GT: A Hero's Legacy (1997),"Son Goku Jr. is the great-great-great-great-grandson of the legendary martial artist Son Goku. However, unlike his predecessor he's not a brave fighter. He's constantly picked on by school bullies, his grandmother Pan sees this and she's worried, but even though Goku Jr. is not a strong and powerful Saiyan, he has a kind heart, and Pan loves him. When Pan gets sick Goku Jr. realizes he must do something if he doesn't want to lose Pan. Then he will remember about the legends of the Dragon Balls. It was told they granted a wish to the bearer, Goku Jr. needs a magical wish more than ever.",03/26/1997,67.0,"Animation,Family,Fantasy"," 45m
  ",Osamu Kasai,Japanese,PG,-,-,https://www.themoviedb.org/movie/18095-gt
437,A Nun's Curse (2020),A group of travelers are forced to seek shelter inside an abandoned jail where a notorious nun named Sister Monday had once been assigned and was suspected of murdering prisoners.,05/12/2020,62.0,Horror, 1h 13m,Tommy Faircloth,English,Not mentioned,-,-,https://www.themoviedb.org/movie/636879-a-nun-s-curse
438,Interstellar (2014),The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,11/07/2014,84.0,"Adventure,Drama,Science Fiction", 2h 49m,Christopher Nolan,English,PG-13,"$165,000,000.00","$701,729,206.00",https://www.themoviedb.org/movie/157336-interstellar
439,Seobok: Project Clone (2021),"A former intelligence agent gets involved with the first human clone, Seobok, who others seek, causing trouble.",04/15/2021,75.0,"Science Fiction,Action", 1h 54m,Lee Yong-ju,Korean,น15+,-,-,https://www.themoviedb.org/movie/586047
440,Pokémon the Movie: Secrets of the Jungle (2020),"In the Forest of Okoya, Koko is a feral child who has been raised as a Pokémon by the Mythical Pokémon Zarude. Koko has grown up never doubting that he is a Pokémon even though he can't really use any sort of moves. Ash Ketchum and Pikachu meet Koko and help him protect the Great Tree from the crooked scientist Dr. Zed.",12/25/2020,71.0,"Animation,Adventure", 1h 38m,Tetsuo Yajima,Japanese,G,-,-,https://www.themoviedb.org/movie/662708
441,Fear Street: 1994 (2021),"After a series of brutal slayings, a teen and her friends take on an evil force that's plagued their notorious town for centuries.",07/02/2021,68.0,"Mystery,Horror", 1h 47m,Leigh Janiak,English,R,-,-,https://www.themoviedb.org/movie/591273-fear-street-1994
442,Road to Ninja: Naruto the Movie (2012),"Sixteen years ago, a mysterious masked ninja unleashes a powerful creature known as the Nine-Tailed Demon Fox on the Hidden Leaf Village Konoha, killing many people. In response, the Fourth Hokage Minato Namikaze and his wife Kushina Uzumaki, the Demon Fox's living prison or Jinchūriki, manage to seal the creature inside their newborn son Naruto Uzumaki. With the Tailed Beast sealed, things continued as normal. However, in the present day, peace ended when a group of ninja called the Akatsuki attack Konoha under the guidance of Tobi, the mysterious masked man behind Fox's rampage years ago who intends on executing his plan to rule the world by shrouding it in illusions.",07/28/2012,76.0,"Animation,Fantasy,Action", 1h 49m,Hayato Date,Japanese,PG-13,-,"$17,322,136.00",https://www.themoviedb.org/movie/118406-road-to-ninja-naruto-the-movie
443,Hello World (2019),"Year 2027, The city of Kyoto has undergone tremendous advancement. Within the city lives Naomi Katagaki, an introvert and Ruri Ichigyō, a girl with a cold personality. Both share a love for reading books. Despite having similar interests, Naomi is afraid to approach Ruri due to her unfriendly nature.  One day, as Naomi goes out for a walk, a crimson aurora pierces through the sky for a brief moment. Shortly after, he sees a three-legged crow and a mysterious man who reveals himself to be Naomi from 10 years in the future, explaining that he has come to change a tragic event that happens to Ruri shortly after they start dating. Naomi follows his future self's instructions and starts getting closer to Ruri, determined to save her.  With the help of his future self, Naomi begins his preparations to save Ruri. Will he be able to change the future?",09/20/2019,72.0,"Animation,Romance,Science Fiction", 1h 38m,Tomohiko Ito,Japanese,G,-,-,https://www.themoviedb.org/movie/604605-hello-world
444,No Manches Frida 2 (2019),Ex-con Zequi and company come back for a new adventure.,03/15/2019,81.0,Comedy, 1h 42m,Nacho G. Velilla,Castilian,Not mentioned,-,-,https://www.themoviedb.org/movie/554596-no-manches-frida-2
445,Why Women Cheat (2021),"The male lead is the king of a small island nation. He was previously badly hurt by the female lead. The female lead has a canine tooth that makes her look extremely captivating when she smiles. When the female lead vanished, the male lead became extremely fond of sleeping because he did not want to miss her. As fate would have it, the male lead married the female lead in the end. He decided to properly torment that adorable yet horrible woman for a while",07/06/2021,33.0,Romance, 1h 17m,Nacho G. Velilla,English,Not mentioned,-,-,https://www.themoviedb.org/movie/848932
446,Photocopier (2021),"When photos of her at a party cause her to lose a scholarship, a student investigates whether something devastating happened to her that night.",01/13/2022,71.0,"Drama,Mystery,Thriller", 2h 10m,Wregas Bhanuteja,Indonesian,M18,-,-,https://www.themoviedb.org/movie/858815-penyalin-cahaya
447,Ready Player One (2018),"When the creator of a popular video game system dies, a virtual contest is created to compete for his fortune.",03/30/2018,76.0,"Science Fiction,Adventure,Action", 2h 20m,Steven Spielberg,English,PG-13,"$175,000,000.00","$582,890,172.00",https://www.themoviedb.org/movie/333339-ready-player-one
448,The King's Daughter (2022),"King Louis XIV's quest for immortality leads him to capture and steal a mermaid's life force, a move that is further complicated by his illegitimate daughter's discovery of the creature.",01/21/2022,74.0,"Fantasy,Drama,Romance,History", 1h 34m,Sean McNamara,English,PG,-,-,https://www.themoviedb.org/movie/245842-the-king-s-daughter
449,7 Prisoners (2021),An impoverished teen seeking to escape the clutches of a human trafficker must weigh living up to his moral code against his struggle to survive.,11/11/2021,71.0,"Drama,Crime", 1h 33m,Alexandre Moratto,Portuguese,14,-,-,https://www.themoviedb.org/movie/785538-7-prisioneiros
450,Windfall (2022),"A man breaks into a tech billionaire's empty vacation home, but things go sideways when the arrogant mogul and his wife arrive for a last-minute getaway.",03/18/2022,53.0,"Crime,Drama,Thriller", 1h 32m,Charlie McDowell,English,R,-,-,https://www.themoviedb.org/movie/850018-windfall
451,Ted (2012),"John Bennett, a man whose childhood wish of bringing his teddy bear to life came true, now must decide between keeping the relationship with the bear or his girlfriend, Lori.",06/29/2012,64.0,"Comedy,Fantasy", 1h 47m,Seth MacFarlane,English,R,"$50,000,000.00","$549,368,315.00",https://www.themoviedb.org/movie/72105-ted
452,Bohemian Rhapsody (2018),"Singer Freddie Mercury, guitarist Brian May, drummer Roger Taylor and bass guitarist John Deacon take the music world by storm when they form the rock 'n' roll band Queen in 1970. Hit songs become instant classics. When Mercury's increasingly wild lifestyle starts to spiral out of control, Queen soon faces its greatest challenge yet – finding a way to keep the band together amid the success and excess.",11/16/2018,80.0,"Music,Drama,History", 2h 15m,Bryan Singer,English,UA,"$52,000,000.00","$894,027,543.00",https://www.themoviedb.org/movie/424694-bohemian-rhapsody
453,Captain Marvel (2019),"The story follows Carol Danvers as she becomes one of the universe’s most powerful heroes when Earth is caught in the middle of a galactic war between two alien races. Set in the 1990s, Captain Marvel is an all-new adventure from a previously unseen period in the history of the Marvel Cinematic Universe.",03/08/2019,69.0,"Action,Adventure,Science Fiction"," 2h 4m
","Ryan Fleck , Anna Boden",English,UA,"$152,000,000.00","$1,128,276,090.00",https://www.themoviedb.org/movie/299537-captain-marvel
454,Songbird (2020),"During a pandemic lockdown, Nico, a young man with rare immunity, must overcome martial law, murderous vigilantes and a powerful family to reunite with his love, Sara.",12/10/2020,62.0,"Thriller,Romance,Drama,Mystery", 1h 25m,Adam Mason,English,PG-13,-,-,https://www.themoviedb.org/movie/721625-songbird
455,Rascal Does Not Dream of a Dreaming Girl (2019),"In Fujisawa, Sakuta Azusagawa is in his second year of high school. Blissful days with his girlfriend and upperclassman, Mai Sakurajima, are interrupted by the appearance of his first crush, Shoko Makinohara.",06/15/2019,85.0,"Animation,Comedy,Romance,Drama,Fantasy", 1h 30m,Souichi Masui,Japanese,PG-13,-,-,https://www.themoviedb.org/movie/572154
456,The Dark Knight Rises (2012),"Following the death of District Attorney Harvey Dent, Batman assumes responsibility for Dent's crimes to protect the late attorney's reputation and is subsequently hunted by the Gotham City Police Department. Eight years later, Batman encounters the mysterious Selina Kyle and the villainous Bane, a new terrorist leader who overwhelms Gotham's finest. The Dark Knight resurfaces to protect a city that has branded him an enemy.",07/20/2012,78.0,"Action,Crime,Drama,Thriller", 2h 45m,Christopher Nolan,English,UA,"$250,000,000.00","$1,081,041,287.00",https://www.themoviedb.org/movie/49026-the-dark-knight-rises
457,Ninja Assassin (2009),"Ninja Assassin follows Raizo, one of the deadliest assassins in the world. Taken from the streets as a child, he was transformed into a trained killer by the Ozunu Clan, a secret society whose very existence is considered a myth. But haunted by the merciless execution of his friend by the Clan, Raizo breaks free from them and vanishes. Now he waits, preparing to exact his revenge.",09/29/2009,65.0,Action, 1h 39m,James McTeigue,English,R,"$40,000,000.00","$60,462,347.00",https://www.themoviedb.org/movie/22832-ninja-assassin
458,Jiu Jitsu (2020),"Every six years, an ancient order of jiu-jitsu fighters joins forces to battle a vicious race of alien invaders. But when a celebrated war hero goes down in defeat, the fate of the planet and mankind hangs in the balance.",11/20/2020,50.0,"Action,Science Fiction,Fantasy", 1h 42m,Dimitri Logothetis,English,R,"$23,000,000.00","$99,924.00",https://www.themoviedb.org/movie/590706-jiu-jitsu
459,The Island of Giant Insects (2020),"After an airplane crash during a school trip, Oribe Mutsumi and her classmates were stranded on a seemingly deserted island. Mutsumi found the other survivors, and used her wilderness knowledge to help them. She expects that they will be rescued in about three days, which doesn't seem so long to endure. However, she didn't account for the fact that the island is populated with gigantic killer insects. Her knowledge of butterflies, wasps, and more may be the only thing that will help any of her classmates survive to be rescued!",01/10/2020,45.0,"Mystery,Drama,Horror,Adventure,Animation", 1h 16m,"Takeo Takahashi , Naoyuki Tatsuwa",Japanese,Not mentioned,-,-,https://www.themoviedb.org/movie/658558
460,Dragon Ball Z: Bojack Unbound (1993),"Mr. Money is holding another World Martial Arts Tournament and Mr. Satan invites everyone in the world to join in. Little does he know that Bojack, an ancient villain who has escaped his prison, is competing. Since Goku is currently dead, it is up to Gohan, Vegeta, and Trunks to defeat Bojack and his henchman.",07/10/1993,70.0,"Action,Animation,Science Fiction"," 51m
  ",Yoshihiro Ueda,Japanese,PG,-,-,https://www.themoviedb.org/movie/39105-z
461,The Twilight Saga: Breaking Dawn - Part 2 (2012),"After the birth of Renesmee, the Cullens gather other vampire clans in order to protect the child from a false allegation that puts the family in front of the Volturi.",11/16/2012,65.0,"Adventure,Fantasy,Drama,Romance", 1h 55m,Bill Condon,English,PG-13,"$120,000,000.00","$829,000,000.00",https://www.themoviedb.org/movie/50620-the-twilight-saga-breaking-dawn-part-2
462,The Twilight Saga: Breaking Dawn - Part 1 (2011),The new found married bliss of Bella Swan and vampire Edward Cullen is cut short when a series of betrayals and misfortunes threatens to destroy their world.,11/17/2011,62.0,"Adventure,Fantasy,Romance", 1h 57m,Bill Condon,English,PG-13,"$110,000,000.00","$712,171,856.00",https://www.themoviedb.org/movie/50619-the-twilight-saga-breaking-dawn-part-1
463,The Shack (2017),"After suffering a family tragedy, Mack Phillips spirals into a deep depression causing him to question his innermost beliefs. Facing a crisis of faith, he receives a mysterious letter urging him to an abandoned shack deep in the Oregon wilderness. Despite his doubts, Mack journeys to the shack and encounters an enigmatic trio of strangers led by a woman named Papa. Through this meeting, Mack finds important truths that will transform his understanding of his tragedy and change his life forever.",03/03/2017,74.0,"Drama,Fantasy", 2h 12m,Stuart Hazeldine,English,PG-13,"$20,000,000.00","$92,924,405.00",https://www.themoviedb.org/movie/345938-the-shack
464,Love Tactics (2022),"An ad executive and a fashion designer-blogger don't believe in love, so they place a bet to make the other fall head over heels - with unusual tactics.",02/11/2022,68.0,"Romance,Comedy", 1h 37m,Emre Kabakuşak,Turkish,PG13,-,-,https://www.themoviedb.org/movie/927855-ask-taktikleri
465,Maleficent: Mistress of Evil (2019),"Maleficent and her goddaughter Aurora begin to question the complex family ties that bind them as they are pulled in different directions by impending nuptials, unexpected allies, and dark new forces at play.",10/18/2019,73.0,"Family,Fantasy,Adventure", 1h 59m,Joachim Rønning,English,PG,"$185,000,000.00","$491,570,967.00",https://www.themoviedb.org/movie/420809-maleficent-mistress-of-evil
466,Top Gun (1986),"A heart-pounding combination of action, music and incredible aerial photography helped make Top Gun the blockbuster hit. of 1986. Top Gun takes a look at the danger and excitement that awaits every pilot at the Navy's prestigious fighter weapons school. Tom Cruise is superb as Lt. Pete ""Maverick"" Mitchell, a daring young flyer who's out to become the best. And Kelly McGillis sizzles as the civilian instructor who teaches Maverick a few things you can't learn in a classroom.",05/16/1986,70.0,"Action,Drama,Adventure", 1h 50m,Tony Scott,English,PG,"$15,000,000.00","$356,830,601.00",https://www.themoviedb.org/movie/744-top-gun
467,Scooby-Doo (2002),"The Mystery Inc. gang have gone their separate ways and have been apart for two years, until they each receive an invitation to Spooky Island. Not knowing that the others have also been invited, they show up and discover an amusement park that affects young visitors in very strange ways.",06/14/2002,60.0,"Mystery,Adventure,Comedy", 1h 28m,Raja Gosnell,English,PG,"$84,000,000.00","$275,650,703.00",https://www.themoviedb.org/movie/9637-scooby-doo
468,Captain America: The First Avenger (2011),"During World War II, Steve Rogers is a sickly man from Brooklyn who's transformed into super-soldier Captain America to aid in the war effort. Rogers must stop the Red Skull – Adolf Hitler's ruthless head of weaponry, and the leader of an organization that intends to use a mysterious device of untold powers for world domination.",07/22/2011,70.0,"Action,Adventure,Science Fiction"," 2h 4m
",Joe Johnston,English,PG-13,"$140,000,000.00","$370,569,774.00",https://www.themoviedb.org/movie/1771-captain-america-the-first-avenger
469,Guardians of the Galaxy Vol. 2 (2017),The Guardians must fight to keep their newfound family together as they unravel the mysteries of Peter Quill's true parentage.,05/05/2017,76.0,"Adventure,Action,Science Fiction", 2h 17m,James Gunn,English,PG-13,"$200,000,000.00","$863,756,051.00",https://www.themoviedb.org/movie/283995-guardians-of-the-galaxy-vol-2
470,Aquaslash (2019),"To celebrate their graduation, the teenagers from Valley Hills High School have organized an ’80s-themed party at the old Wet Valley water park. Things turn gruesome when it's revealed that a mysterious maniac has inserted giant razor blades into one of the water slides. The water park thus becomes the backdrop for a bloodbath (literally), and everyone is a suspect...",06/23/2020,41.0,"Horror,Comedy", 1h 12m,Renaud Gauthier,English,18,-,-,https://www.themoviedb.org/movie/607383-aquaslash
471,King Richard (2021),"The story of how Richard Williams served as a coach to his daughters Venus and Serena, who will soon become two of the most legendary tennis players in history.",11/19/2021,79.0,"Drama,History", 2h 25m,Reinaldo Marcus Green,English,PG-13,"$50,000,000.00","$30,000,000.00",https://www.themoviedb.org/movie/614917-king-richard
472,Public Enemies (2009),"Depression-era bank robber John Dillinger's charm and audacity endear him to much of America's downtrodden public, but he's also a thorn in the side of J. Edgar Hoover and the fledgling FBI. Desperate to capture the elusive outlaw, Hoover makes Dillinger his first Public Enemy Number One and assigns his top agent, Melvin Purvis, the task of bringing him in dead or alive.",07/01/2009,67.0,"Action,Crime", 2h 20m,Michael Mann,English,R,"$100,000,000.00","$214,104,620.00",https://www.themoviedb.org/movie/11322-public-enemies
473,El Paseo 6 (2021),"The last year High School excursion is the walk where anything can happen, but the last year High School excursion with the parents, that is the last straw. And since Álvaro Castaño knows that security is better than the police, he decides to travel with his family to watch over his daughter Sarita, however, his mother-in-law, Raquel, is not willing to allow it and also embarks in the plan . On the paradisiacal beaches of San Andrés, Álvaro Castaño will become Sara's nightmare and the sensation for the excursion, while his sexy mother-in-law of him will be the one to steal the show. El Paseo 6, the last yeat High School excursion, because the luck of the grandmother, the High School girls wish it.",12/25/2021,31.0,Comedy, 1h 37m,Rodrigo Triana,Castilian,Not mentioned,-,-,https://www.themoviedb.org/movie/920143-el-paseo-6
474,Dragon Ball Z: The World's Strongest (1990),"The evil Dr. Kochin uses the dragon balls to resurrect his mentor, Dr. Wheelo, in an effort to take over the world. Dr. Wheelo, his body having been destroyed by the avalanche that killed him fifty years before, desires the body of the strongest fighter in the world as his new vessel. Believing Roshi to be the world's strongest warrior, Dr. Kochin abducts Bulma and forces Roshi to surrender himself to save her. When Goku hears of their abduction, he goes to their rescue.",03/10/1990,64.0,"Action,Animation,Science Fiction"," 1h
   ",Daisuke Nishio,Japanese,PG,-,-,https://www.themoviedb.org/movie/39100-z
475,The Last Airbender (2010),"The story follows the adventures of Aang, a young successor to a long line of Avatars, who must put his childhood ways aside and stop the Fire Nation from enslaving the Water, Earth and Air nations.",07/01/2010,47.0,"Action,Adventure,Fantasy", 1h 43m,M. Night Shyamalan,English,PG,"$150,000,000.00","$319,713,881.00",https://www.themoviedb.org/movie/10196-the-last-airbender
476,Legend (2015),"Suave, charming and volatile, Reggie Kray and his unstable twin brother Ronnie start to leave their mark on the London underworld in the 1960s. Using violence to get what they want, the siblings orchestrate robberies and murders while running nightclubs and protection rackets. With police Detective Leonard ""Nipper"" Read hot on their heels, the brothers continue their rapid rise to power and achieve tabloid notoriety.",11/20/2015,70.0,"Crime,Thriller", 2h 12m,Brian Helgeland,English,R,"$25,000,000.00","$42,972,994.00",https://www.themoviedb.org/movie/276907-legend
477,Dragon Ball Super: Broly (2018),"Earth is peaceful following the Tournament of Power. Realizing that the universes still hold many more strong people yet to see, Goku spends all his days training to reach even greater heights. Then one day, Goku and Vegeta are faced by a Saiyan called 'Broly' who they've never seen before. The Saiyans were supposed to have been almost completely wiped out in the destruction of Planet Vegeta, so what's this one doing on Earth? This encounter between the three Saiyans who have followed completely different destinies turns into a stupendous battle, with even Frieza (back from Hell) getting caught up in the mix.",03/29/2019,78.0,"Action,Science Fiction,Animation", 1h 41m,Tatsuya Nagamine,Japanese,PG,"$1,000,000.00","$125,002,821.00",https://www.themoviedb.org/movie/503314
478,Never Back Down: Revolt (2021),An amateur fighter is lured by a trafficking syndicate specializing in elite underground fighting where her brutal captor forces her to fight or face certain death.,11/16/2021,66.0,Action, 1h 29m,Kellie Madison,English,R,-,-,https://www.themoviedb.org/movie/763025-never-back-down-revolt
479,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe (2005)","Siblings Lucy, Edmund, Susan and Peter step through a magical wardrobe and find the land of Narnia. There, they discover a charming, once peaceful kingdom that has been plunged into eternal winter by the evil White Witch, Jadis. Aided by the wise and magnificent lion, Aslan, the children lead Narnia into a spectacular, climactic battle to be free of the Witch's glacial powers forever.",12/09/2005,71.0,"Adventure,Family,Fantasy", 2h 23m,Andrew Adamson,English,PG,"$180,000,000.00","$745,013,115.00",https://www.themoviedb.org/movie/411-the-chronicles-of-narnia-the-lion-the-witch-and-the-wardrobe
480,Creed (2015),"The former World Heavyweight Champion Rocky Balboa serves as a trainer and mentor to Adonis Johnson, the son of his late friend and former rival Apollo Creed.",11/27/2015,74.0,Drama, 2h 13m,Ryan Coogler,English,PG-13,"$37,000,000.00","$173,567,581.00",https://www.themoviedb.org/movie/312221-creed
481,Barbie: Princess Charm School (2011),"Barbie stars as Blair Willows, a kind-hearted girl who is chosen to attend Princess Charm School: a magical, modern place that teaches dancing, how to have tea parties, and proper princess manners. Blair loves her classes -- as well as the helpful magical sprites and her new friends, Princesses Hadley and Isla. But when royal teacher Dame Devin discovers that Blair looks a lot like the kingdom’s missing princess, she turns Blair’s world upside down to stop her from claiming the throne. Now Blair, Hadley and Delancy must find an enchanted crown to prove Blair’s true identity in this charming and magical princess story!",09/13/2011,74.0,"Family,Animation,Fantasy", 1h 19m,Ezekiel Norton,English,G,-,-,https://www.themoviedb.org/movie/73456-barbie-princess-charm-school
482,Brothers (2009),"When his helicopter goes down during his fourth tour of duty in Afghanistan, Marine Sam Cahill is presumed dead. Back home, brother Tommy steps in to look over Sam’s wife, Grace, and two children. Sam’s surprise homecoming triggers domestic mayhem.",12/02/2009,71.0,"Drama,Thriller,War", 1h 44m,Jim Sheridan,English,R,"$26,000,000.00","$43,318,349.00",https://www.themoviedb.org/movie/7445-brothers
483,Spirit: Stallion of the Cimarron (2002),"As a wild stallion travels across the frontiers of the Old West, he befriends a young human and finds true love with a mare.",05/24/2002,77.0,"Western,Animation,Adventure,Comedy,Family,Drama", 1h 23m,"Kelly Asbury , Lorna Cook",English,G,"$80,000,000.00","$122,563,539.00",https://www.themoviedb.org/movie/9023-spirit-stallion-of-the-cimarron
484,Ponyo (2008),"The son of a sailor, 5-year-old Sosuke, lives a quiet life on an oceanside cliff with his mother Lisa. One fateful day, he finds a beautiful goldfish trapped in a bottle on the beach and upon rescuing her, names her Ponyo. But she is no ordinary goldfish.",07/19/2008,77.0,"Animation,Fantasy,Family", 1h 40m,Hayao Miyazaki,Japanese,G,"$41,677,699.00","$202,404,009.00",https://www.themoviedb.org/movie/12429
485,Abraham Lincoln: Vampire Hunter (2012),"President Lincoln's mother is killed by a supernatural creature, which fuels his passion to crush vampires and their slave-owning helpers.",06/22/2012,57.0,"Action,Fantasy,Horror", 1h 34m,Timur Bekmambetov,English,R,"$69,000,000.00","$116,471,580.00",https://www.themoviedb.org/movie/72331-abraham-lincoln-vampire-hunter
486,The Misfits (2021),"After being recruited by a group of unconventional thieves, renowned criminal Richard Pace finds himself caught up in an elaborate gold heist that promises to have far-reaching implications on his life and the lives of countless others.",06/11/2021,55.0,"Action,Thriller", 1h 34m,Renny Harlin,English,R,-,-,https://www.themoviedb.org/movie/581644-the-misfits
487,No One Gets Out Alive (2021),An immigrant in search of the American dream is forced to take a room in a boarding house and soon finds herself in a nightmare from which she can't escape.,09/29/2021,60.0,"Horror,Thriller,Mystery", 1h 25m,Santiago Menghini,English,R,-,-,https://www.themoviedb.org/movie/740925-no-one-gets-out-alive
488,The Penitent Thief (2021),"The story of the two unnamed men who were crucified alongside Jesus and how they came to be beside him on the cross that fateful day. Dismas and his brother Jotham, along with Gestas, another young man who will share their fate, suffer tragedy and injustice at the hands of a band of thieves and a ruthless Roman centurion. Theirs is a story of survival against the odds, but they cannot outrun their destiny.",02/25/2021,53.0,Drama, 1h 33m,Lucas Miles,English,M,-,"$23,800.00",https://www.themoviedb.org/movie/778552-the-penitent-thief
